title,description,views,applications,experience,salary
Senior FullStack (Python+React) Developer,"Our client US-based world-leading financial analytics, data services, and trading platform company. The client is renowned for their cutting-edge fintech solutions. You will work inside of the client's Agile ecosystem with one of the multinational Scrum teams. The project relates to providing cloud-based infrastructure and a suite of self-service applications for clients, building tools and applications for connectivity provisioning, security and credential management and policy enforcement. The team is responsible for policy management, and implementing connectivity policy management. Responsibilities -Build highly scalable, maintainable platforms using Python and React -Develop and implement complex systems and user workflows using React -Manage and shape the architecture of the client's platform -Manage full project cycles (from prototyping to ensuring reliable deployments) -Use best practices to create a high-performance application that is easy to maintain and extend -Collaborate with the team to create a consistent and easy-to-use application across multiple platforms Requirements -4+ years of full-stack experience -4+ years of back-end experience with Python -4+ years of experience with JavaScript (React) -Experience with PostgreSQL -Experience working with Restful API development -Experience in developing cloud applications -Experience in building architecture for an application -Experience with microservices architecture -Basic understanding of UX/UI -Basic understanding of developing single-page applications -Knowledge of related technologies: HTML5, CSS -Understanding SDLC development methodologies -Knowledge of code testing methods (including BDD, and TDD) -Experience with integration with third-party systems and services -Skills of working with version control systems -Skills of working with CI systems -Experience in collecting and documenting technical requirements, creating products based on these requirements -Strong team player in a flat-structured, highly collaborative, Agile environment -Algorithm tasks solving experience -Working proficiency and communication skills in verbal and written English Nice to have -Experience using modern technologies for building and testing pipelines -Knowledge of testing tools and frameworks",26,3,,
Middle Python Developer,"Founded in 1935, is an American Telecommunications company that offers local and long-distance telephone service, broadband Internet, digital television service, and computer technical support to residential and business customers in 29 states in the United States. The company has around 16,200 employees and $6 billion in Revenues.  AWS component knowledge AWS Lambda  (important) PostgreSQL (important) SQLAlchemy Prisma (should be simple) React (important) Node (important) AWS Lambda Typescript (important) Prisma (should be simple) PostgreSQL (important) Other: api gateway AWS CDK/SSM CI/CD: github Nice to have (Operational): apache airflow (nice to have) sagemaker AWS RDS-postgressql CI/CD: terraform Airflow, SageMaker, Athena, Kedro, and  Available for evening calls (till noon Dallas time) English level enough to communicate with client team Independent good communication 4-5 engineers, 3 QA. Support of Scheduling tool, new features, maintenance. Supporting deployments on non-standard working hours. Frontier is a big client, and in case of successful delivery of this project, many more to follow.  Team will contribute to improvement of existing system and the definition.",16,3,,
Senior Python Developer,"The client main mission is to make communities more resilient. They do this by pairing external data with artificial intelligence to identify areas of high risk and prevent catastrophic loss for utilities and infrastructure operators across the country. The are a team of close-knit engineers, entrepreneurs, and data geeks who obsess over problem-solving, new technologies, and making a positive impact in our communities.  - Python, Django - PostgreSQL, Redis, Kafka - Kubernetes, GCP, Terraform - Significant backend experience designing, building and maintaining enterprise web applications and/or APIs. - Experience working closely with product and account support personnel to help prioritize the best solutions to the largest problems. - Experience designing and architecting systems to meet high standards of reliability and ease of use - Attention to detail in work and ability to identify ambiguities in specifications. - Able to effectively communicate ideas and concepts within your team, across teams, and throughout the organization, even with non-technical audiences, in both written and verbal forms. - Eagerness to work in a cross-functional team to help build end-to-end features. - Familiarity with modern DevSecOps techniques: CI/CD, TDD, Infrastructure as code (IaC), etc. - High proficiency with relational databases and ability to profile and optimize queries. - Production experience with Django Rest Framework, FastAPI, or other API frameworks - Possibility to influence the development of the project - Friendly professional staff and warm atmosphere - Help with development via mentoring and coaching - The environment where you can implement your ideas - Flexible schedule and opportunities to work remotely (8 hours workday) - Team parties and corporate events.",32,12,,to $5500
Senior Backend Engineer (Python/Golang),"Letyshops is a shopping community. We have saved our users $100M, intending to put Ukraine on the tech map of the world. Now, we're aiming to save users $100M weekly with a new, revolutionary product set to transform shopping worldwide. We are seeking a Senior Backend Engineer who will join the legendary Foundation track and help build a platform that will be the foundation for an ambitious project and with which distributed teams will work. We’re looking for someone with: - strong experience working on the backend of a technology product - more than 5 years of commercial engineering experience - English B2 or higher - desire to be involved in building a product that you (and the people you know) actively use - product mindset: you want to make decisions based on the value they create for Users and business - comfortable working in a team that deals with ambiguity - interests in distributed systems and writing resilient applications What you’ll be using: - Python and Golang to write your application code - PostgreSQL, MongoDB, for most persistent data storage - Kafka for our asynchronous message queue - gRPC for S2S communications - Kubernetes and Docker to schedule and run our services - AWS for most of our infrastructure - Elasticsearch for storing and analyzing events As Senior Backend Engineer, you will be responsible for: - Own, implement, and deliver projects or big-sized features within the team - Independently identify the right solutions to solve ambiguous, open-ended problems - Develop high-quality software design and architecture following the internal standards, policies, and best practices - Specify uncertain requirements and proactively spread them through the team - Proactively documents existing and new features or projects - Collaborate with internal teams to fix and improve product - Proactively contributes to improvements in the observability and quality of the system Are you interested? Please feel free to contact us if you need any further information",29,5,,
Middle+ Python Engineer,"You’ll be given real autonomy and responsibility, as well as be able to contribute to offer features and implement improvements. Our team is the perfect place to develop your skills in an environment based on mutual trust and respect. А typical development team on a single project consists of two front-end React.JS developers, two QA Automation engineers, and two to three back-end Python engineers. This role involves the following requirements: • At least 2,5 year of hands-on experience in Python 3.x language; • Strong hands-on experience in Django; • Strong knowledge of HTML, CSS; • Strong knowledge of version control software, Git preferred; • Experience with Amazon Web Services (AWS) (EC2, RDS, EBS, S3); • Experience with PostgreSQL or MySQL; • Experience with Celery with RabbitMQ / Redis; • In-depth experience in UNIT testing; • Understanding of API design, Django Rest Framework, RESTful API / GraphQL; • More than two years of commercial experience; Non-technical Qualification and Skills: • Excellent read & write capabilities and reasonable spoken English; • Understanding of Scrum framework and roles in a team; • Ability and desire to learn things fast; We offer: • Free English classes, technical lectures and courses; • You get 21 working days of annual leave; • We pay for your illness. We don’t need a sick list. • An ability to plan your working day: you come and go as you please provided that you have enough time to interact with the team and participate in daily meetings. • Modern cozy office in the city center (Kooperativna street);",136,40,,
Python Engineer,"We are looking for a Python Engineer to join our customer team. Your mission will be to develop their technology to generate a code to identify eating in fish Using Python, MATLAB, or any other software to detect eating in fish in a noisy environment of engines and machines. The work will consist of a combination of teamwork while you also get the freedom to work independently. - 3-5 years of development experience using Python - Extensive experience with the noisy environment of engines and machines - Good understanding of MATLAB - Masters's engineering degree in a technical field - Structured - Experimental - bring ideas to the table, helping them to grow - Problem Solver - Analytical - Self going - Focus on research questions 1. Recruitment interview. 2. Test task. 3. Client tech interview. Job Offer.",81,8,,$4900-5500
Lead Python Engineer,"We’re looking for a Lead Python Engineer to join our team. You will be involved in development of one of the world's largest digital advertising companies. • 7+ years of professional experience in object-oriented programming, in different environments, with JVM • Strong proficiency in Python programming language (Jupyter, Pandas) • Understanding of AWS services (CloudFormation, EC2, EMR, Lambda, ECS, Glue, Athena) • Experience with CI/CD processes • Apache (Spark, Parquet, Hudi) • Github, CircleCI, Datadog • Good knowledge of Docker • Proficient use of both written and oral English is a must • Working closely with the Product Managers and the Engineering Managers • Responsible for the good development practices of your team  • Responsible for helping the software engineers of your team to improve their technical and delivery skills • Drive technical excellence inside the company by applying shared gold standards • Breakdown of tasks: 30% management, 70% development • A full-time job and a long-term contract • Flexible working hours with compensated overtime • Official employment, managing your taxes and accounting • Career and professional growth opportunities • High salary (determined during the job interview), regular performance reviews • Paid vacation and sick leave • Optional benefits package that include Health insurance, Gym membership, English courses, compensation of certification, courses, and training • Creative and lively team of IT specialists, adequate management and zero unnecessary bureaucracy",20,2,,
Strong Middle Back-end Developer (Python),"Ми шукаємо Middle Back-end Developer (Python), який прагне розробляти амбітні ІТ-продукти та хоче стати частиною команди, що створює додатки в сегменті Health & Fitness. Ви будете працювати з сучасним стеком технологій: Python 3.9, PostgreSQL, SQL Alchemy, AWS services, AWS Lambda. Зростай разом з нами: • 5+ років на світовому ринку • 500+ спеціалістів (за минулий рік ми виросли в х2 рази) • 5+ додатків • 200М завантажень • Наші додатки продаються по всьому світу з фокусом на США, Латинську Америку, Європу, активно виходимо на Азійські ринки Ключові завдання: • Створення та підтримка API • Робота з основними сервісами AWS (AWS Lambda/API Gateway/SQS/CloudFormation/CloudWatch/SNS) Навички та досвід: • 3+ роки досвіду у розробці на Python • Глибокі знання Python 3 • Глибокі знання та розуміння SOLID, KISS, DRY принципів • Знання і вміння працювати з реляційними базами даних (Postgres або інші) • Досвід роботи з SQLAlchemy (або будь-яким іншим ORM) • Розуміння та вміння працювати з UNIX-системами • Розуміння основ serverless архітектури Буде плюсом: • Досвід роботи з підходом serverless архітектури • Досвід роботи з AWS-сервісами (Lambda / API Gateway / SQS / CloudFormation / CloudWatch) У нашій команді ми цінуємо: • Комунікабельність. Апдейт команди, регулярне спілкування з робочою групою щодо поточних проектів у письмовому (чати) та усному (стендапи та інші зустрічі) форматах). • Відкритість до спілкування. Уміння чітко та лаконічно формулювати завдання. • Орієнтацію на результат. Бажання привести свої завдання у відповідність до глобальних цілей команди та компанії, впровадити необхідні зміни. • Відповідальність. Самостійність, готовність брати на себе зобов’язання та виконувати домовленості. • Проактивність. Уміння ставити цілі та досягати їх. Прагнення створювати можливості, не чекаючи їх появи. • Спрямованість на розвиток та самонавчання, зацікавленість новими технологіями. Постійне бажання навчатися та розвивати свої навички, набувати нового досвіду. Ми пропонуємо рівень винагороди, який буде відповідати кваліфікації та рівню кандидата. Деякі з наших додатків: • Muscle Booster — musclebooster.fitness • Yoga-Go — yoga-go.fit • FitCoach — fitcoach.fit • WalkFit — walkfit.pro • Omo — bit.ly/OMOio Рекрутмент процес: ⭕️ Знайомство з рекрутером ---- ⭕️ Інтерв’ю ---- ⭕ Фінальне інтерв’ю У нашій команді ви зможете не лише розвиватися та втілювати свої ідеї, а й приносити користь світу!",32,5,,
Str.Middle/Senior Python Developer 2037/03,"Looking for an experienced Python engineer who is proficient with Python, Postgres, SQL. The project is a high performance web application to view and analyze domain specific data. A commitment to collaborative problem solving, sophisticated design, and quality products are important. A stable long term project, growing customer base, small team fun to work with. Responsibilities: -Developing new application features -Design multi-user resource efficient solutions -Building reusable components for future use -Optimizing services for maximum performance Technical skills: -Strong proficiency in Python -Strong experience in working with databases (PostgreSQL) and SQL language -Experience in Pyramid is a plus -Experience in implementing Reporting and Analytics is a plus -Ability to understand business requirements and translate them into technical requirements -Experience in speech analysis is a plus Non-technical skills: -Team player -Excellent time-management skills -Great interpersonal and communication skills",29,6,,to $5500
Full-Stack Developer (Python/React),"Matoffo is looking for an experienced Full-Stack Developer (Python/React) to join our team. We welcome those who share our values, striving to grow professionally constantly and make things done. Client is a US based startup that organizes all info across your digital workspace and provides context for the projects, meetings, and people that matter to you. Product has all of your most important files, documents, conversations, and links organized by client, project, and team. It makes your daily activities much more comfortable. You will work with other team members to develop and support product functionality to achieve business goals; Maintain code and component library formulated using design patterns; Participate in code review, maintenance and refactoring, meeting new feature requirements and improving existing features; Participate in problem solving in a production environment; You will collaborate with other teams to understand the product vision and meet the requirements by developing the frontend functionality; Performing peer code-reviews and unit testing to ensure high-quality software. 3+ years of experience with React, Redux; 3+ years of experience with HTML, CSS, and plain JavaScript; 3+ years of experience with Python; Experience with TypeScript is mandatory; Solid understanding of the SDLC and tooling (GIT, branching/merging, build systems, CI technologies); Understanding of state management (redux), HOCs, hooks; Experience working with remote data via REST and JSON; Strong knowledge of OOP, design patterns, SOLID; Experience with test driven development; Self-motivation with the ability to work in a team in a fast-paced environment; Ability to work independently, team player with strong communication and interpersonal skills; Ability to discuss and explain complex technical concepts to both engineers and non-engineers; Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon; An understanding of best practices and a commitment to following them; A positive mindset and can-do attitude; Experience working in an Agile environment; Upper-intermediate or higher English level, both spoken and written. Flexible working hours; Competitive compensation commensurate with your experience and skills; Modern technologies, popular on the market; Not boring English classes; Interesting customers and projects; Learning and development opportunities along with AWS certification program; An excellent team with a friendly atmosphere.",36,8,,
Python AI/ML Developer,"is a software company that has been providing a full cycle of product development for 8 years. The company has implemented over 170 projects. Satisfied customers use products in more than 15 countries on 3 continents. Always interesting projects where you will improve your skills, gain new experience and knowledge. Great atmosphere in a young and creative team. Together we develop, relax and chill. Knowledge and experience with  Knowledge and experience in building applications based on the  Basic knowledge of   or  Experience with   or other modern databases  or higher (ability to speak with the clients verbally) Knowledge of   framework  Basic knowledge of  Experience with   and  Experience in creating a relational database architecture and the ability to build complex queries Experience with frontend development Developing modern Generative AI applications, based on LLMs Developing your own APIs and connecting third-party APIs Decent and timely payment, fixed in USD The most flexible work schedule, including remote work Paid vacations, public holidays, sick leaves English courses Courses on Udemy and other similar platforms Corporate parties, team building and other activities",162,40,,
RnD Engineer,"We are currently forming an R&D team of developers, DevOps and QA engineers who will perform hypothesis testing, experimentation and the creation of Proof of Concept for the technical and technological development of the ecosystem. Examples of the team’s tasks are the formation and implementation of a service mesh for PIN-UP services, the formation and development of the Central Message Bus for services based on MQ (NATS), new elements integration of the tech stack. Now we are looking for a Engineer who is ready to drive and take an active part in the tasks of the team, develop and initiate alternative solutions and ideas, present the results and help to implement them. •Golang/Python/Java development experience 5+ years; •Experience with different databases (NoSQL, SQL, Redis) and message brokers (Kafka, NATS), run in a cloud (e.g. AWS) is a plus; •Practical experience with Git, GitLab, GitLab CI; •Knowledge of REST/RPC/binary transports and protocols; •Practical knowledge of containers (Docker, Kubernetes); •Participation in R&D activities; •Excellent problem solving skills; •Strong system design skills; •Experience with micro-services design and development; •Strong analytical skills, open-minded and creative team player; •Good management and organizational skills; •English: Intermediate+, Ukrainian - spoken. •Understanding event driven architecture; •Understanding Twelve-Factor App methodology; •Working with cloud services GCP\AWS; •Working with GitOps; •Working with Terraform; •Working with Helm\Argocd; •Working with Grafana\Tempo\Loki + Prometheus; •Working with High Load and High Available systems. •Leading and supervising R&D activities within the team - investigation and research performing, PoC implementation, experiments conduction; •Brainstorming and alternative solutions generation together with the team; •Team R&D tasks results analysis, presentation and further evolving; •Policies, implementation plans and artifacts creation for R&D results establishment within the production teams; •Helping production teams to implement R&D results; •Team members mentorship, knowledge sharing within the team;",84,7,,
RnD Manager,"We are currently forming an R&D team of developers, DevOps and QA engineers who will perform hypothesis testing, experimentation and the creation of Proof of Concept for the technical and technological development of the ecosystem. Examples of the team’s tasks are the formation and implementation of a service mesh for PIN-UP services, the formation and development of the Central Message Bus for services based on MQ (NATS), new elements integration of the tech stack. Now we are looking for a Lead who is ready to form a team from scratch, drive and take an active part in the tasks of the team, develop and initiate alternative solutions and ideas (and brainstorms for them), help team members develop and find the right solutions, present the results and help to implement them. •Golang/Python/Java development experience 5+ years; •Experience with different databases (NoSQL, SQL, Redis) and message brokers (Kafka, NATS), run in a cloud (e.g. AWS) is a plus; •Practical experience with Git, GitLab, GitLab CI; •Knowledge of REST/RPC/binary transports and protocols; •Practical knowledge of containers (Docker, Kubernetes); •Participation in R&D activities; •Excellent problem solving skills; •Strong system design skills; •Experience with micro-services design and development; •Strong analytical skills, open-minded and creative team player; •Good management and organizational skills; •English: Intermediate+, Ukrainian - spoken. •Understanding event driven architecture; •Understanding Twelve-Factor App methodology; •Working with cloud services GCP\AWS; •Working with GitOps; •Working with Terraform; •Working with Helm\Argocd; •Working with Grafana\Tempo\Loki + Prometheus; •Working with High Load and High Available systems. •Leading and supervising R&D activities within the team - investigation and research performing, PoC implementation, experiments conduction; •Brainstorming and alternative solutions generation together with the team; •Team R&D tasks results analysis, presentation and further evolving; •Policies, implementation plans and artifacts creation for R&D results establishment within the production teams; •Helping production teams to implement R&D results; •Team members mentorship, knowledge sharing within the team;",31,3,,
Python Engineer,"We are looking for a   to join the customer's team. Your mission will be to develop their technology to generate a code to identify eating in fish Using Python, MATLAB, or any other software to detect eating in fish in a noisy environment of engines and machines. The work will consist of a combination of teamwork while you also get the freedom to work independently. - 3-5 years of development experience using Python - Extensive experience with the noisy environment of engines and machines - Good understanding of MATLAB - Masters's engineering degree in a technical field - Structured - Experimental - bring ideas to the table, helping them to grow - Problem Solver - Analytical - Self going - Focus on research questions",60,4,,$4900-5500
Python Developer  (DCOS),"•    2+ years of Python experience •    Good knowledge of Python and integrations, API use, etc; •    SQL knowledge is a must •    AI experience is considered a plus; •    Experience in Agile software development methodologies; •    Familiarity with web technologies; •    Proven strong teamwork, communication, collaboration, and ownership skills; •    Good English is a must •    Develop and maintain existing solutions •    Maintain, configure and improve integration with various enterprise software •    Clarify requirements and advice on the technical approach •    Responsible for coding quality and maintainability of development •    Write top-notch code that will enhance business value •    Communicate with cross-functional teams that will develop applications •    Managing priorities, deadlines, and deliverables •    Enforce best practices regarding project-specific procedures and coding standards The application contains Frontend and Backend parts. Frontend is in ReactJS. Backend is in Python and represents RESTFull API service. It uses Hug as a framework and Peewee as ORM. Postgres is used as the database engine.  • International working environment • Continuous learning programs • Clearly defined career path • Technical certifications • Paid sick leaves • Periodic evaluations with salary raises and bonuses in accordance with performance • Flexible schedule and opportunity to work remotely",113,34,,
Lead Backend Engineer ‍,"We're looking for Lead BE Engineer to join one of our teams and help us build a cutting-edge all-in-one solution that will change the game for businesses everywhere. If you're passionate about solving user problems, constantly learning and implementing new technologies, and working in a fun and supportive team environment, we want to hear from you! ✨ ✍️  -develop solutions using Python and related technologies -technical leadership of the development team (2 SE FE, 1 Strong Middle BE) -analyze and estimate the effort of implementing business requirements -identify and propose improvements to achieve technological excellence -learn and apply cutting-edge technologies ⚙️  -5+ years of experience in software development, with at least 1 year in a leadership role -strong technical skills in Python programming language and its associated frameworks and libraries -experience with Django/DRF or Flask, Celery, Docker, CI/CD tools (Github actions/Jenkins) -experience with relational databases PostgreSQL/MySQL and in-memory data stores e.g, Redis; Elasticsearch will be a plus -experience with integrating third-party APIs, preferably marketing APIs (Google Ads or Facebook) -strong leadership, problem-solving, analytical, and communication skills -experience with AWS or another primary cloud service; -experience with Agile methodologies and project management tools; -upper-Intermediate English level or higher; -experience with digital marketing or media buying on Facebook, Google, or any other marketing platform. 🗣 Interview process: -screening by HR, 20-30 mins  -interview with CTO, 30 mins  -technical interview with Tech Lead (1.5h) 🤝  -24 vacation days, 10 sick leaves -English classes -we cover 100% professional courses -opportunities for professional growth within the company, corporate events, and team-building activities -medical insurance or gym",54,2,,
Python (Flask) Developer,"We are looking for a highly experienced Python developer who can become a part of an already existing solid team of professionals. Requirements: - 3+ years of experience with Python; - Experience with Flask; - Good knowledge of OOP/OOD; - Experience in writing unit tests; - Experience in designing API’s; - Hands-on experience with Docker, docker-compose, Redis; - Experience with MongoDB is a must; - Experience in MongoDB aggregation queries; - Excellent teamwork skills are an absolute must; - Intermediate English Level. We offer: - Stable and on schedule salary; - Paid vacation, sick leave; - Flexible work schedule; - Corporate English lessons; - Conference, seminar, and training attendance at the expense of the company; - Internal library usage and the ability to fill it with any book you need; - Coffee/tea, cookies, fruits in free mode; - Corporate parties, team buildings; - Boundless opportunities for career and professional growth.",65,20,,
Стажер JS/Python/C++,"Вітаю! Ми продуктова міжнародна компанія, виробник софту для операторів зв'язку. І зараз ми шукаємо кандидатів на стажування у команду розробки PortaSwitch. Це платформа для телекомунікаційних компаній, яку можна використовувати як єдиний інтерфейс адміністрування для управління та виставлення рахунків за кількох послуг, а також це кластерний і добре масштабований програмний комутатор SIP і дуже надійний SBC. Продукт складається з безлічі компонентів, що використовують різноманітні технології та мови програмування. У тому числі зараз вакантні позиції розробників на:  Python  Js ангуляр та С++. Програма Стажування передбачає: - Ремоут - 2 місяці оплачуваної (офіційне оформлення співпраці) роботи по 8 годин на день над реальним проєктом (щось на зразок випробувального терміну), який модеруватимуть старші розробники. -При успішному проходженні Вами програми Вам запропонують працевлаштування вже на постійній основі. Вимоги:  Самостійний досвід у розробці від 5 міс Технічна освіта Базові знання лінукс, мереж  Чекаємо ваших CV  з описом, що саме вже робили самостійно і які знання маєте в мережах і лінукс. Дякуємо!",1109,272,,
Senior Software Engineer (Python),"We are looking for a   to work with our client who builds machines that assist insurance leaders in solving problems that have traditionally relied on human judgement, intuition and experience.  - Min 6 years experience in the software development area and min 3 years as FullStack; - Very good working understanding of relational databases, inc. PL/pgSQL; - Professional experience in designing databases and creating ETL; - Very good working understanding of Python and its libraries; - Very good working understanding of Flask; - Good working understanding of Docker; - Very good working understanding of computer networks; - Deep understanding of concurrent/parallel programming. – Building business logic for a dynamic Insurance system based on AI/ML; – Implement new features, making existing code better, investigate issues in production; – Writing unit tests; – Be responsible for the whole feature delivery, from requirements analysis to deployment to production (not only implement code and write tests); – Participating in design and code reviews, planning meetings; – Communicate effectively with teammates, other teams, business representatives. 80-90% python. Frontend tasks are: new visualisations, improving current ones, improving user experience, but also adding new selection criteria to front using own access to database, adding functionalities such as select of language used, sharing analysis within user groups and other similar.  Python, Celery, Flask, PostgreSQL, Docker, JavaScript.  3 Data Scientists, 2 Full Stack Engineers, 1 Front End Engineer.  Flexible, usualy 9/10 - 18/19.  - Medical Insurance yearly budget to obtain insurance plan in Ukraine / financial reimbursement of expenses on medical services outside Ukraine; - 20 business days of paid vacation, unlimited sick leave, 4 days of emergency leave; - Sports program: 50% reimbursement for gym, sports events and equipment, massage services within budget limit; - Wellbeing program: individual consultations with professional psychologists, psychiatrists, and coaches; - Budget for personal learnings, conferences, certifications, courses, subscriptions etc. and language classes (Ukrainian, English); - Family events presents and financial help in emergency cases.",34,5,,
Python Developer,"You have an opportunity to join our team and be in the beginning of long journey building new security products focused on mass market. Job is full-time and fully remote within standard working hours in Ukraine inside international team (Sweden+Ukraine).  REQUIREMENTS - Minimum 3 years of experience with Python - Experience in designing and building REST API - Experience with GIT - Strong knowledge of MySQL - Advanced used in Unix systems - Experience building containerized work environment on Docker - Intermediate English language Would be a plus: - Practical experience with microframeworks like Flask, FastAPI  - Experience with no-SQL databases - Experience with RabbitMQ",76,17,,
Senior Python Developer,The daily quantum leap of technology development requires people to continually upgrade their skills to manage more complicated programs and devices. It consumes time and energy. We work for simplifying the digital experience of people by making a wide range of functionally excellent IT products that are still intuitively usable. From the landing page for the one-time event up to the total automation of the business. We work diligently and adequately because we value our and your time and energy. If you share our principles — we will be pleased to work with You.  We are looking for a Senior Python Developer. The main requirements  - Python - Apache Beam (Dataflow) - GCP Start: asap Duration: long term (3+ month) Workload: Full time  Location: Remote Project language: English Upper-Intermediate level at least,77,24,,
Python Developer 3+ years of exp (with DevOps skills) - work only from Poland,"Project Description: We're building a project for market leading large Germany based company with 440,000 customers worldwide. Originally known for leadership in enterprise resource planning (ERP) software, the company has evolved to become a market leader in end-to-end enterprise application software, database, analytics, intelligent technologies, and experience management. A top cloud company with 200 million users worldwide, the company helps businesses of all sizes and in all industries to operate profitably, adapt continuously, and achieve their purpose. Responsibilities: • Designing, implementing and improving build and release pipelines for cloud-based Analytics solutions • Helping the teams with CI/CD setup for automated testing, infrastructure provisioning, production releases • Identifying, implementing and improving automation in various areas of the cloud-based solutions • Identifying and addressing technical debt • Making sure cloud environments adhere to standards and policies, are kept clean and efficient • Troubleshooting and fixing issues related to cloud environments • Code delivery & review in Python. Mandatory Skills Description:Elasticsearch, DevOps, Kubernetes, CI/CD, Jenkins, Python, Docker, Containerization Nice-to-Have Skills:Scrum Methodology, Logstash, Git, Linux, REST, Kibana, Grafana, Prometheus; SAP cloud experience",11,2,,
Senior Python Developer,"Numerical Technologies is a leading provider of custom software solutions and services specializing in risk, limits, and regulatory capital. Right now, we are looking for a Senior Python Developer to join our team. What are we looking for? ◼️ A strong programming background with Python and OOP skills ◼️ Hands-on experience in developing UI components using FastAPI ◼️ Experience of the Agile project management methodology ◼️ Good knowledge of Git, Jira, and Confluence ◼️ Demonstrated problem solving skills to provide production support of software ◼️ Strong communication skills (in English) and experience in dealing with both technical and non-technical stakeholders What additional skills will help you stand out? ◼️ Hands-on experience in developing backend, microservices, RESTful api using Python ◼️ Experience working at a financial institution ◼️ Experience working with cloud platforms (AWS, Azure) We offer: ◼️ Competitive compensation depending on experience and skills ◼️ Regular assessments and salary reviews ◼️ Compensation for sick leaves and regular vacations ◼️ Health insurance ◼️ Partial gym compensation ◼️ English/Polish/Spanish language classes ◼️ Flexible working schedule ◼️ Friendly team and enjoyable working environment",51,13,,
Tech Lead Python Engineer,"Our client - a big international company with new projects in Ukraine. The main product - BigData for sales professionals can identify, engage and close prospects, thanks to the prospecting platform, web extension, and API. We work with Zendesk, Uber, Dropbox.    - 4+ years of experience as a backend engineer.   - 2+ years experience as a Python developer.   - Highly skilled in software development best practices and CI\CD.  - Proficient with web scraping libraries such as BeautifulSoup, Scrapy, Selenium, etc.  - Solid understanding of HTML, CSS, JavaScript, and web technologies, as well as the ability to reverse-engineer API calls.  - Strong experience with SQL and NoSQL databases.   - Experience working with cloud environments (AWS preferable)   - Experience with working with data lake - advantage   - Familiarity with following tools docker, k8s, AirFlow, Jenkins - advantage   - Experience with working with various database engines (relational, document storage, key-value, time series) - ElasticSearch, Redis, Postgres, MySql  - Design and implement high-scale and data-intensive services   - Take part in the most significant projects in the company   - Research and implement algorithmic solutions in our product   - Work with a product manager and see the bigger picture and business requirements   - Be a part of the heterogeneous team of backend and data engineers   - Improve and propose new algorithmic solutions for our state-of-the-art search engine  - flexible working arrangements;   - medical insurance;  - challenging, and fast-growing product;  - autonomous team structure with a lot of freedom and ownership;  - opportunities to own development from start to finish;  - opportunity to work in English speaking environment;  paid vacations and sick leaves.   Looking forward to working with you!   SoftHouseGroup team",22,2,,
Senior Python Developer,"A vulnerability management optimization platform that helps you prioritize and allocate team resources to increase work efficiency. 4+ years of experience with Python, Flask; Knowledge of cybersecurity; Experience in data engineering; Experience with AWS – Cognito, S3, Secret manager; Experience with APIs; Understanding of OOP in Python; Experience with Design Patterns; English – Intermediate. Experience with DevOps / CI/CD; Experience with MongoDB; Experience with Apache airflow. 5-day working week, 8-hour working day, flexible schedule All public holidays are days off Vacation and sick leave are covered by the company Remote work",20,1,,$4000-5000
Python Team Lead,"0. Fast and comfortable hiring process. 1. 100% remote (even before the COVID) work opportunity and flexitime - choose working hours between 8:00-20:00. 2. Manage your compensation $$$$ budget - Travel tickets, Work equipment, Health insurance, Software, Sport, Training. 3. Salary paid in USD + tax compensation. Revision every 12 months. We want everyone to be confident in what tomorrow brings. 4. Everything to provide a good rest. YES: Paid vacation, national holidays, sick leaves(and support in case of serious diseases). NO: overtime, work on weekends. 5. Regular feedback, mentorship, code review. Friendly and professional team that supports you. Well, we're proud of how we handle that. So you can always count on us. 6. Speaking clubs with a native speaker to constantly maintain your English level. 7. No bureaucracy - transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently. We propose something more significant than a job. PLANEKS means developing a new lifestyle for our colleagues and clients. So take your part in it! - 5+ years of commercial software engineering experience using Python for Web. - Strong soft skills including leadership - ability to hire, develop, inspire, motivate, train and manage the team to meet high goals. - Knowledge of Python frameworks/CMSs. - Knowledge of SQL and NoSQL databases. - Knowledge of designing and writing APIs or RESTful endpoints. - Multi-threading, asynchronous and microservice software development experience. - Understanding of network principles (TCP / IP, DNS, HTTP, SSL). - Knowledge of message streams and brokers RabbitMQ, Kafka, etc. - Strong expertise in software design, development and development management - Knowledge OOP, Architecture Patterns and Best Practices for tech solutions. - Excellent English communication skills (both verbal and written). - Knowledge of another programming language except for Python. - Strong understanding of CI/CD process and cloud platforms. - Experience with Machine Learning or Artificial Intelligence. - Business-oriented approach. - Being on the edge of technology, management, and business. - Working with the founders on directions and goals for the development team. - Technical mentoring and coaching of developers. - Being a part of recruitment processes. - Integrate the newest technologies and approaches which will be used by other developers in the company. - Constantly adding value to the experience of our customers … and coding!",41,6,,
